{'loss': 1.4967, 'grad_norm': 3.2469992637634277, 'learning_rate': 9.815797229590334e-05, 'epoch': 0.06}
{'loss': 1.415, 'grad_norm': 2.447962760925293, 'learning_rate': 9.631594459180666e-05, 'epoch': 0.11}
{'loss': 1.4341, 'grad_norm': 2.4242520332336426, 'learning_rate': 9.447391688771e-05, 'epoch': 0.17}
{'loss': 1.4258, 'grad_norm': 3.1035749912261963, 'learning_rate': 9.263188918361332e-05, 'epoch': 0.22}
{'loss': 1.4439, 'grad_norm': 2.8501510620117188, 'learning_rate': 9.078986147951666e-05, 'epoch': 0.28}
{'loss': 1.4162, 'grad_norm': 2.2181782722473145, 'learning_rate': 8.894783377541999e-05, 'epoch': 0.33}
{'loss': 1.4033, 'grad_norm': 2.559586524963379, 'learning_rate': 8.710580607132331e-05, 'epoch': 0.39}
{'loss': 1.37, 'grad_norm': 2.2024660110473633, 'learning_rate': 8.526377836722664e-05, 'epoch': 0.44}
{'loss': 1.3772, 'grad_norm': 1.6242330074310303, 'learning_rate': 8.342175066312998e-05, 'epoch': 0.5}
{'loss': 1.3504, 'grad_norm': 1.8266081809997559, 'learning_rate': 8.157972295903331e-05, 'epoch': 0.55}
{'loss': 1.37, 'grad_norm': 2.7413113117218018, 'learning_rate': 7.973769525493664e-05, 'epoch': 0.61}
{'loss': 1.3951, 'grad_norm': 2.0755858421325684, 'learning_rate': 7.789566755083996e-05, 'epoch': 0.66}
{'loss': 1.3617, 'grad_norm': 2.202019691467285, 'learning_rate': 7.60536398467433e-05, 'epoch': 0.72}
{'loss': 1.3768, 'grad_norm': 1.703012466430664, 'learning_rate': 7.421161214264663e-05, 'epoch': 0.77}
{'loss': 1.3741, 'grad_norm': 1.7143738269805908, 'learning_rate': 7.236958443854996e-05, 'epoch': 0.83}
{'loss': 1.3544, 'grad_norm': 1.6394438743591309, 'learning_rate': 7.05275567344533e-05, 'epoch': 0.88}
{'loss': 1.3441, 'grad_norm': 1.8554936647415161, 'learning_rate': 6.868552903035661e-05, 'epoch': 0.94}
{'loss': 1.3408, 'grad_norm': 1.7402890920639038, 'learning_rate': 6.684350132625995e-05, 'epoch': 0.99}
{'loss': 1.1424, 'grad_norm': 3.5389552116394043, 'learning_rate': 6.500147362216328e-05, 'epoch': 1.05}
{'loss': 1.1109, 'grad_norm': 2.3002471923828125, 'learning_rate': 6.31594459180666e-05, 'epoch': 1.11}
{'loss': 1.1227, 'grad_norm': 3.423248052597046, 'learning_rate': 6.131741821396995e-05, 'epoch': 1.16}
{'loss': 1.1038, 'grad_norm': 2.442303419113159, 'learning_rate': 5.9475390509873274e-05, 'epoch': 1.22}
{'loss': 1.13, 'grad_norm': 2.035688877105713, 'learning_rate': 5.76333628057766e-05, 'epoch': 1.27}
{'loss': 1.1333, 'grad_norm': 2.361149311065674, 'learning_rate': 5.5791335101679934e-05, 'epoch': 1.33}
{'loss': 1.0845, 'grad_norm': 2.025412082672119, 'learning_rate': 5.394930739758326e-05, 'epoch': 1.38}
{'loss': 1.1365, 'grad_norm': 2.5962069034576416, 'learning_rate': 5.2107279693486586e-05, 'epoch': 1.44}
{'loss': 1.1267, 'grad_norm': 2.842470407485962, 'learning_rate': 5.0265251989389926e-05, 'epoch': 1.49}
{'loss': 1.1198, 'grad_norm': 3.1707053184509277, 'learning_rate': 4.842322428529325e-05, 'epoch': 1.55}
{'loss': 1.1181, 'grad_norm': 2.414858818054199, 'learning_rate': 4.6581196581196586e-05, 'epoch': 1.6}
{'loss': 1.1496, 'grad_norm': 2.0994105339050293, 'learning_rate': 4.473916887709991e-05, 'epoch': 1.66}
{'loss': 1.0951, 'grad_norm': 2.5998494625091553, 'learning_rate': 4.289714117300324e-05, 'epoch': 1.71}
{'loss': 1.1069, 'grad_norm': 2.6209943294525146, 'learning_rate': 4.105511346890657e-05, 'epoch': 1.77}
{'loss': 1.118, 'grad_norm': 2.8774709701538086, 'learning_rate': 3.9213085764809905e-05, 'epoch': 1.82}
{'loss': 1.1166, 'grad_norm': 2.526315212249756, 'learning_rate': 3.737105806071324e-05, 'epoch': 1.88}
{'loss': 1.1287, 'grad_norm': 3.2118237018585205, 'learning_rate': 3.5529030356616565e-05, 'epoch': 1.93}
{'loss': 1.1497, 'grad_norm': 2.4839179515838623, 'learning_rate': 3.368700265251989e-05, 'epoch': 1.99}
{'loss': 0.9249, 'grad_norm': 2.5463948249816895, 'learning_rate': 3.184497494842323e-05, 'epoch': 2.04}
{'loss': 0.946, 'grad_norm': 4.42151403427124, 'learning_rate': 3.0002947244326558e-05, 'epoch': 2.1}
{'loss': 0.8829, 'grad_norm': 3.3223559856414795, 'learning_rate': 2.8160919540229884e-05, 'epoch': 2.16}
{'loss': 0.8969, 'grad_norm': 4.035892009735107, 'learning_rate': 2.631889183613322e-05, 'epoch': 2.21}
{'loss': 0.9112, 'grad_norm': 3.468623638153076, 'learning_rate': 2.4476864132036547e-05, 'epoch': 2.27}
{'loss': 0.8919, 'grad_norm': 3.303389549255371, 'learning_rate': 2.2634836427939877e-05, 'epoch': 2.32}
{'loss': 0.9072, 'grad_norm': 4.058168888092041, 'learning_rate': 2.0792808723843207e-05, 'epoch': 2.38}
{'loss': 0.912, 'grad_norm': 2.3425111770629883, 'learning_rate': 1.895078101974654e-05, 'epoch': 2.43}
{'loss': 0.9185, 'grad_norm': 1.6924641132354736, 'learning_rate': 1.7108753315649866e-05, 'epoch': 2.49}
